Assay	run	trt	strain	measure	strain.name	assay.name
Wave Init Rate	1	DMSO	N2	100.194386	N2	WaveInitRate
Wave Init Rate	1	DMSO	N2	103.039757	N2	WaveInitRate
Wave Init Rate	1	DMSO	N2	67.681205	N2	WaveInitRate
Wave Init Rate	1	DMSO	N2	133.341	N2	WaveInitRate
Wave Init Rate	1	DMSO	N2	127.994626	N2	WaveInitRate
Wave Init Rate	1	DMSO	N2	111.033797	N2	WaveInitRate
Wave Init Rate	1	DMSO	N2	121.047297	N2	WaveInitRate
Wave Init Rate	1	DMSO	N2	133.542127	N2	WaveInitRate
Wave Init Rate	1	DMSO	N2	117.779125	N2	WaveInitRate
Wave Init Rate	1	DMSO	N2	103.601306	N2	WaveInitRate
Wave Init Rate	1	DMSO	N2	100.054793	N2	WaveInitRate
Wave Init Rate	1	DMSO	N2	NA	N2	WaveInitRate
Wave Init Rate	1	DMSO	N2	NA	N2	WaveInitRate
Wave Init Rate	1	DMSO	N2	NA	N2	WaveInitRate
Wave Init Rate	1	DMSO	N2	NA	N2	WaveInitRate
Wave Init Rate	1	DMSO	N2	NA	N2	WaveInitRate
Body Wave Number	1	DMSO	N2	0.372085	N2	WaveNumber
Body Wave Number	1	DMSO	N2	0.409315	N2	WaveNumber
Body Wave Number	1	DMSO	N2	0.474473	N2	WaveNumber
Body Wave Number	1	DMSO	N2	0.506867	N2	WaveNumber
Body Wave Number	1	DMSO	N2	0.582935	N2	WaveNumber
Body Wave Number	1	DMSO	N2	0.498591	N2	WaveNumber
Body Wave Number	1	DMSO	N2	0.393145	N2	WaveNumber
Body Wave Number	1	DMSO	N2	0.53674	N2	WaveNumber
Body Wave Number	1	DMSO	N2	0.365001	N2	WaveNumber
Body Wave Number	1	DMSO	N2	0.808456	N2	WaveNumber
Body Wave Number	1	DMSO	N2	0.493833	N2	WaveNumber
Body Wave Number	1	DMSO	N2	NA	N2	WaveNumber
Body Wave Number	1	DMSO	N2	NA	N2	WaveNumber
Body Wave Number	1	DMSO	N2	NA	N2	WaveNumber
Body Wave Number	1	DMSO	N2	NA	N2	WaveNumber
Body Wave Number	1	DMSO	N2	NA	N2	WaveNumber
Asymmetry	1	DMSO	N2	0.019808	N2	Asymmetry
Asymmetry	1	DMSO	N2	9.5e-5	N2	Asymmetry
Asymmetry	1	DMSO	N2	5.4e-4	N2	Asymmetry
Asymmetry	1	DMSO	N2	0.009134	N2	Asymmetry
Asymmetry	1	DMSO	N2	3.68e-4	N2	Asymmetry
Asymmetry	1	DMSO	N2	0.008065	N2	Asymmetry
Asymmetry	1	DMSO	N2	-0.001297	N2	Asymmetry
Asymmetry	1	DMSO	N2	4.85e-4	N2	Asymmetry
Asymmetry	1	DMSO	N2	0.002486	N2	Asymmetry
Asymmetry	1	DMSO	N2	-0.012469	N2	Asymmetry
Asymmetry	1	DMSO	N2	0.013198	N2	Asymmetry
Asymmetry	1	DMSO	N2	NA	N2	Asymmetry
Asymmetry	1	DMSO	N2	NA	N2	Asymmetry
Asymmetry	1	DMSO	N2	NA	N2	Asymmetry
Asymmetry	1	DMSO	N2	NA	N2	Asymmetry
Asymmetry	1	DMSO	N2	NA	N2	Asymmetry
Stretch	1	DMSO	N2	0.45313	N2	Stretch
Stretch	1	DMSO	N2	0.382891	N2	Stretch
Stretch	1	DMSO	N2	0.535039	N2	Stretch
Stretch	1	DMSO	N2	0.386756	N2	Stretch
Stretch	1	DMSO	N2	0.390508	N2	Stretch
Stretch	1	DMSO	N2	0.389718	N2	Stretch
Stretch	1	DMSO	N2	0.372712	N2	Stretch
Stretch	1	DMSO	N2	0.303682	N2	Stretch
Stretch	1	DMSO	N2	0.36899	N2	Stretch
Stretch	1	DMSO	N2	0.385058	N2	Stretch
Stretch	1	DMSO	N2	0.38908	N2	Stretch
Stretch	1	DMSO	N2	NA	N2	Stretch
Stretch	1	DMSO	N2	NA	N2	Stretch
Stretch	1	DMSO	N2	NA	N2	Stretch
Stretch	1	DMSO	N2	NA	N2	Stretch
Stretch	1	DMSO	N2	NA	N2	Stretch
Attenuation	1	DMSO	N2	10.07038	N2	Attenuation
Attenuation	1	DMSO	N2	24.547081	N2	Attenuation
Attenuation	1	DMSO	N2	35.63224	N2	Attenuation
Attenuation	1	DMSO	N2	19.722333	N2	Attenuation
Attenuation	1	DMSO	N2	35.96874	N2	Attenuation
Attenuation	1	DMSO	N2	30.970775	N2	Attenuation
Attenuation	1	DMSO	N2	24.666791	N2	Attenuation
Attenuation	1	DMSO	N2	61.54643	N2	Attenuation
Attenuation	1	DMSO	N2	60.512259	N2	Attenuation
Attenuation	1	DMSO	N2	69.153729	N2	Attenuation
Attenuation	1	DMSO	N2	23.47514	N2	Attenuation
Attenuation	1	DMSO	N2	NA	N2	Attenuation
Attenuation	1	DMSO	N2	NA	N2	Attenuation
Attenuation	1	DMSO	N2	NA	N2	Attenuation
Attenuation	1	DMSO	N2	NA	N2	Attenuation
Attenuation	1	DMSO	N2	NA	N2	Attenuation
Reverse Swim	1	DMSO	N2	0	N2	ReverseSwim
Reverse Swim	1	DMSO	N2	0	N2	ReverseSwim
Reverse Swim	1	DMSO	N2	0	N2	ReverseSwim
Reverse Swim	1	DMSO	N2	0	N2	ReverseSwim
Reverse Swim	1	DMSO	N2	0	N2	ReverseSwim
Reverse Swim	1	DMSO	N2	0	N2	ReverseSwim
Reverse Swim	1	DMSO	N2	0	N2	ReverseSwim
Reverse Swim	1	DMSO	N2	0	N2	ReverseSwim
Reverse Swim	1	DMSO	N2	0	N2	ReverseSwim
Reverse Swim	1	DMSO	N2	0	N2	ReverseSwim
Reverse Swim	1	DMSO	N2	0	N2	ReverseSwim
Reverse Swim	1	DMSO	N2	NA	N2	ReverseSwim
Reverse Swim	1	DMSO	N2	NA	N2	ReverseSwim
Reverse Swim	1	DMSO	N2	NA	N2	ReverseSwim
Reverse Swim	1	DMSO	N2	NA	N2	ReverseSwim
Reverse Swim	1	DMSO	N2	NA	N2	ReverseSwim
Curling	1	DMSO	N2	1.281553	N2	Curling
Curling	1	DMSO	N2	0.817121	N2	Curling
Curling	1	DMSO	N2	4.212766	N2	Curling
Curling	1	DMSO	N2	0	N2	Curling
Curling	1	DMSO	N2	1.722488	N2	Curling
Curling	1	DMSO	N2	0	N2	Curling
Curling	1	DMSO	N2	0.918367	N2	Curling
Curling	1	DMSO	N2	0	N2	Curling
Curling	1	DMSO	N2	0.365112	N2	Curling
Curling	1	DMSO	N2	9.061224	N2	Curling
Curling	1	DMSO	N2	0	N2	Curling
Curling	1	DMSO	N2	NA	N2	Curling
Curling	1	DMSO	N2	NA	N2	Curling
Curling	1	DMSO	N2	NA	N2	Curling
Curling	1	DMSO	N2	NA	N2	Curling
Curling	1	DMSO	N2	NA	N2	Curling
Travel Speed	1	DMSO	N2	11.371512	N2	TravelSpeed
Travel Speed	1	DMSO	N2	9.395082	N2	TravelSpeed
Travel Speed	1	DMSO	N2	5.559013	N2	TravelSpeed
Travel Speed	1	DMSO	N2	8.987644	N2	TravelSpeed
Travel Speed	1	DMSO	N2	9.357941	N2	TravelSpeed
Travel Speed	1	DMSO	N2	9.080448	N2	TravelSpeed
Travel Speed	1	DMSO	N2	10.494256	N2	TravelSpeed
Travel Speed	1	DMSO	N2	13.227733	N2	TravelSpeed
Travel Speed	1	DMSO	N2	7.052818	N2	TravelSpeed
Travel Speed	1	DMSO	N2	9.667477	N2	TravelSpeed
Travel Speed	1	DMSO	N2	2.967226	N2	TravelSpeed
Travel Speed	1	DMSO	N2	NA	N2	TravelSpeed
Travel Speed	1	DMSO	N2	NA	N2	TravelSpeed
Travel Speed	1	DMSO	N2	NA	N2	TravelSpeed
Travel Speed	1	DMSO	N2	NA	N2	TravelSpeed
Travel Speed	1	DMSO	N2	NA	N2	TravelSpeed
Brush Stroke	1	DMSO	N2	0.064229	N2	BrushStroke
Brush Stroke	1	DMSO	N2	0.333668	N2	BrushStroke
Brush Stroke	1	DMSO	N2	0.058518	N2	BrushStroke
Brush Stroke	1	DMSO	N2	0.388827	N2	BrushStroke
Brush Stroke	1	DMSO	N2	0.266027	N2	BrushStroke
Brush Stroke	1	DMSO	N2	0.233075	N2	BrushStroke
Brush Stroke	1	DMSO	N2	0.31533	N2	BrushStroke
Brush Stroke	1	DMSO	N2	0.283831	N2	BrushStroke
Brush Stroke	1	DMSO	N2	0.379728	N2	BrushStroke
Brush Stroke	1	DMSO	N2	0.313641	N2	BrushStroke
Brush Stroke	1	DMSO	N2	0.070491	N2	BrushStroke
Brush Stroke	1	DMSO	N2	NA	N2	BrushStroke
Brush Stroke	1	DMSO	N2	NA	N2	BrushStroke
Brush Stroke	1	DMSO	N2	NA	N2	BrushStroke
Brush Stroke	1	DMSO	N2	NA	N2	BrushStroke
Brush Stroke	1	DMSO	N2	NA	N2	BrushStroke
Activity Index	1	DMSO	N2	389.644004	N2	ActivityIndex
Activity Index	1	DMSO	N2	301.819876	N2	ActivityIndex
Activity Index	1	DMSO	N2	246.012018	N2	ActivityIndex
Activity Index	1	DMSO	N2	394.802894	N2	ActivityIndex
Activity Index	1	DMSO	N2	304.518387	N2	ActivityIndex
Activity Index	1	DMSO	N2	524.884096	N2	ActivityIndex
Activity Index	1	DMSO	N2	279.095478	N2	ActivityIndex
Activity Index	1	DMSO	N2	291.347595	N2	ActivityIndex
Activity Index	1	DMSO	N2	319.099095	N2	ActivityIndex
Activity Index	1	DMSO	N2	253.807343	N2	ActivityIndex
Activity Index	1	DMSO	N2	353.187465	N2	ActivityIndex
Activity Index	1	DMSO	N2	NA	N2	ActivityIndex
Activity Index	1	DMSO	N2	NA	N2	ActivityIndex
Activity Index	1	DMSO	N2	NA	N2	ActivityIndex
Activity Index	1	DMSO	N2	NA	N2	ActivityIndex
Activity Index	1	DMSO	N2	NA	N2	ActivityIndex
Wave Init Rate	2	DMSO	N2	85.843603	N2	WaveInitRate
Wave Init Rate	2	DMSO	N2	78.363954	N2	WaveInitRate
Wave Init Rate	2	DMSO	N2	84.545684	N2	WaveInitRate
Wave Init Rate	2	DMSO	N2	73.033457	N2	WaveInitRate
Wave Init Rate	2	DMSO	N2	72.803211	N2	WaveInitRate
Wave Init Rate	2	DMSO	N2	100.238404	N2	WaveInitRate
Wave Init Rate	2	DMSO	N2	91.245259	N2	WaveInitRate
Wave Init Rate	2	DMSO	N2	84.025706	N2	WaveInitRate
Wave Init Rate	2	DMSO	N2	80.841963	N2	WaveInitRate
Wave Init Rate	2	DMSO	N2	NA	N2	WaveInitRate
Wave Init Rate	2	DMSO	N2	NA	N2	WaveInitRate
Wave Init Rate	2	DMSO	N2	NA	N2	WaveInitRate
Wave Init Rate	2	DMSO	N2	NA	N2	WaveInitRate
Wave Init Rate	2	DMSO	N2	NA	N2	WaveInitRate
Wave Init Rate	2	DMSO	N2	NA	N2	WaveInitRate
Body Wave Number	2	DMSO	N2	0.522787	N2	WaveNumber
Body Wave Number	2	DMSO	N2	0.433486	N2	WaveNumber
Body Wave Number	2	DMSO	N2	0.365671	N2	WaveNumber
Body Wave Number	2	DMSO	N2	0.473301	N2	WaveNumber
Body Wave Number	2	DMSO	N2	0.556325	N2	WaveNumber
Body Wave Number	2	DMSO	N2	0.394738	N2	WaveNumber
Body Wave Number	2	DMSO	N2	0.508285	N2	WaveNumber
Body Wave Number	2	DMSO	N2	0.5149	N2	WaveNumber
Body Wave Number	2	DMSO	N2	0.30450700000000003	N2	WaveNumber
Body Wave Number	2	DMSO	N2	NA	N2	WaveNumber
Body Wave Number	2	DMSO	N2	NA	N2	WaveNumber
Body Wave Number	2	DMSO	N2	NA	N2	WaveNumber
Body Wave Number	2	DMSO	N2	NA	N2	WaveNumber
Body Wave Number	2	DMSO	N2	NA	N2	WaveNumber
Body Wave Number	2	DMSO	N2	NA	N2	WaveNumber
Asymmetry	2	DMSO	N2	-0.028749	N2	Asymmetry
Asymmetry	2	DMSO	N2	-0.038162	N2	Asymmetry
Asymmetry	2	DMSO	N2	-0.001462	N2	Asymmetry
Asymmetry	2	DMSO	N2	-0.019396	N2	Asymmetry
Asymmetry	2	DMSO	N2	0.001894	N2	Asymmetry
Asymmetry	2	DMSO	N2	-0.011578	N2	Asymmetry
Asymmetry	2	DMSO	N2	0.008756	N2	Asymmetry
Asymmetry	2	DMSO	N2	-0.030826	N2	Asymmetry
Asymmetry	2	DMSO	N2	0.003246	N2	Asymmetry
Asymmetry	2	DMSO	N2	NA	N2	Asymmetry
Asymmetry	2	DMSO	N2	NA	N2	Asymmetry
Asymmetry	2	DMSO	N2	NA	N2	Asymmetry
Asymmetry	2	DMSO	N2	NA	N2	Asymmetry
Asymmetry	2	DMSO	N2	NA	N2	Asymmetry
Asymmetry	2	DMSO	N2	NA	N2	Asymmetry
Stretch	2	DMSO	N2	0.335381	N2	Stretch
Stretch	2	DMSO	N2	0.379319	N2	Stretch
Stretch	2	DMSO	N2	0.399784	N2	Stretch
Stretch	2	DMSO	N2	0.444937	N2	Stretch
Stretch	2	DMSO	N2	0.493364	N2	Stretch
Stretch	2	DMSO	N2	0.376693	N2	Stretch
Stretch	2	DMSO	N2	0.332034	N2	Stretch
Stretch	2	DMSO	N2	0.343819	N2	Stretch
Stretch	2	DMSO	N2	0.450727	N2	Stretch
Stretch	2	DMSO	N2	NA	N2	Stretch
Stretch	2	DMSO	N2	NA	N2	Stretch
Stretch	2	DMSO	N2	NA	N2	Stretch
Stretch	2	DMSO	N2	NA	N2	Stretch
Stretch	2	DMSO	N2	NA	N2	Stretch
Stretch	2	DMSO	N2	NA	N2	Stretch
Attenuation	2	DMSO	N2	-20.132267	N2	Attenuation
Attenuation	2	DMSO	N2	-6.154745	N2	Attenuation
Attenuation	2	DMSO	N2	64.123857	N2	Attenuation
Attenuation	2	DMSO	N2	-29.549353	N2	Attenuation
Attenuation	2	DMSO	N2	15.470218	N2	Attenuation
Attenuation	2	DMSO	N2	52.005606	N2	Attenuation
Attenuation	2	DMSO	N2	10.149494	N2	Attenuation
Attenuation	2	DMSO	N2	55.022844	N2	Attenuation
Attenuation	2	DMSO	N2	66.350092	N2	Attenuation
Attenuation	2	DMSO	N2	NA	N2	Attenuation
Attenuation	2	DMSO	N2	NA	N2	Attenuation
Attenuation	2	DMSO	N2	NA	N2	Attenuation
Attenuation	2	DMSO	N2	NA	N2	Attenuation
Attenuation	2	DMSO	N2	NA	N2	Attenuation
Attenuation	2	DMSO	N2	NA	N2	Attenuation
Reverse Swim	2	DMSO	N2	0	N2	ReverseSwim
Reverse Swim	2	DMSO	N2	0	N2	ReverseSwim
Reverse Swim	2	DMSO	N2	0	N2	ReverseSwim
Reverse Swim	2	DMSO	N2	0	N2	ReverseSwim
Reverse Swim	2	DMSO	N2	0	N2	ReverseSwim
Reverse Swim	2	DMSO	N2	0	N2	ReverseSwim
Reverse Swim	2	DMSO	N2	0	N2	ReverseSwim
Reverse Swim	2	DMSO	N2	0	N2	ReverseSwim
Reverse Swim	2	DMSO	N2	0	N2	ReverseSwim
Reverse Swim	2	DMSO	N2	NA	N2	ReverseSwim
Reverse Swim	2	DMSO	N2	NA	N2	ReverseSwim
Reverse Swim	2	DMSO	N2	NA	N2	ReverseSwim
Reverse Swim	2	DMSO	N2	NA	N2	ReverseSwim
Reverse Swim	2	DMSO	N2	NA	N2	ReverseSwim
Reverse Swim	2	DMSO	N2	NA	N2	ReverseSwim
Curling	2	DMSO	N2	0.121951	N2	Curling
Curling	2	DMSO	N2	0.734694	N2	Curling
Curling	2	DMSO	N2	0	N2	Curling
Curling	2	DMSO	N2	0.566038	N2	Curling
Curling	2	DMSO	N2	1.358491	N2	Curling
Curling	2	DMSO	N2	0	N2	Curling
Curling	2	DMSO	N2	0	N2	Curling
Curling	2	DMSO	N2	0.517241	N2	Curling
Curling	2	DMSO	N2	0.820046	N2	Curling
Curling	2	DMSO	N2	NA	N2	Curling
Curling	2	DMSO	N2	NA	N2	Curling
Curling	2	DMSO	N2	NA	N2	Curling
Curling	2	DMSO	N2	NA	N2	Curling
Curling	2	DMSO	N2	NA	N2	Curling
Curling	2	DMSO	N2	NA	N2	Curling
Travel Speed	2	DMSO	N2	9.601758	N2	TravelSpeed
Travel Speed	2	DMSO	N2	12.832132	N2	TravelSpeed
Travel Speed	2	DMSO	N2	10.023196	N2	TravelSpeed
Travel Speed	2	DMSO	N2	8.074487	N2	TravelSpeed
Travel Speed	2	DMSO	N2	10.65291	N2	TravelSpeed
Travel Speed	2	DMSO	N2	10.102823	N2	TravelSpeed
Travel Speed	2	DMSO	N2	9.031698	N2	TravelSpeed
Travel Speed	2	DMSO	N2	7.479244	N2	TravelSpeed
Travel Speed	2	DMSO	N2	5.369595	N2	TravelSpeed
Travel Speed	2	DMSO	N2	NA	N2	TravelSpeed
Travel Speed	2	DMSO	N2	NA	N2	TravelSpeed
Travel Speed	2	DMSO	N2	NA	N2	TravelSpeed
Travel Speed	2	DMSO	N2	NA	N2	TravelSpeed
Travel Speed	2	DMSO	N2	NA	N2	TravelSpeed
Travel Speed	2	DMSO	N2	NA	N2	TravelSpeed
Brush Stroke	2	DMSO	N2	0.213355	N2	BrushStroke
Brush Stroke	2	DMSO	N2	0.2662	N2	BrushStroke
Brush Stroke	2	DMSO	N2	0.26132	N2	BrushStroke
Brush Stroke	2	DMSO	N2	0.223596	N2	BrushStroke
Brush Stroke	2	DMSO	N2	0.217644	N2	BrushStroke
Brush Stroke	2	DMSO	N2	0.380201	N2	BrushStroke
Brush Stroke	2	DMSO	N2	0.301505	N2	BrushStroke
Brush Stroke	2	DMSO	N2	0.290715	N2	BrushStroke
Brush Stroke	2	DMSO	N2	0.322346	N2	BrushStroke
Brush Stroke	2	DMSO	N2	NA	N2	BrushStroke
Brush Stroke	2	DMSO	N2	NA	N2	BrushStroke
Brush Stroke	2	DMSO	N2	NA	N2	BrushStroke
Brush Stroke	2	DMSO	N2	NA	N2	BrushStroke
Brush Stroke	2	DMSO	N2	NA	N2	BrushStroke
Brush Stroke	2	DMSO	N2	NA	N2	BrushStroke
Activity Index	2	DMSO	N2	284.402161	N2	ActivityIndex
Activity Index	2	DMSO	N2	297.543532	N2	ActivityIndex
Activity Index	2	DMSO	N2	333.366477	N2	ActivityIndex
Activity Index	2	DMSO	N2	273.870221	N2	ActivityIndex
Activity Index	2	DMSO	N2	279.853352	N2	ActivityIndex
Activity Index	2	DMSO	N2	335.316022	N2	ActivityIndex
Activity Index	2	DMSO	N2	278.448393	N2	ActivityIndex
Activity Index	2	DMSO	N2	244.275772	N2	ActivityIndex
Activity Index	2	DMSO	N2	259.407665	N2	ActivityIndex
Activity Index	2	DMSO	N2	NA	N2	ActivityIndex
Activity Index	2	DMSO	N2	NA	N2	ActivityIndex
Activity Index	2	DMSO	N2	NA	N2	ActivityIndex
Activity Index	2	DMSO	N2	NA	N2	ActivityIndex
Activity Index	2	DMSO	N2	NA	N2	ActivityIndex
Activity Index	2	DMSO	N2	NA	N2	ActivityIndex
Wave Init Rate	1	DMSO	BYLS162	124.471816	BR5271	WaveInitRate
Wave Init Rate	1	DMSO	BYLS162	123.269003	BR5271	WaveInitRate
Wave Init Rate	1	DMSO	BYLS162	135.214576	BR5271	WaveInitRate
Wave Init Rate	1	DMSO	BYLS162	130.510572	BR5271	WaveInitRate
Wave Init Rate	1	DMSO	BYLS162	149.512488	BR5271	WaveInitRate
Wave Init Rate	1	DMSO	BYLS162	135.70183	BR5271	WaveInitRate
Wave Init Rate	1	DMSO	BYLS162	133.635847	BR5271	WaveInitRate
Wave Init Rate	1	DMSO	BYLS162	117.051939	BR5271	WaveInitRate
Wave Init Rate	1	DMSO	BYLS162	116.443528	BR5271	WaveInitRate
Wave Init Rate	1	DMSO	BYLS162	135.157684	BR5271	WaveInitRate
Wave Init Rate	1	DMSO	BYLS162	NA	BR5271	WaveInitRate
Wave Init Rate	1	DMSO	BYLS162	NA	BR5271	WaveInitRate
Wave Init Rate	1	DMSO	BYLS162	NA	BR5271	WaveInitRate
Wave Init Rate	1	DMSO	BYLS162	NA	BR5271	WaveInitRate
Wave Init Rate	1	DMSO	BYLS162	NA	BR5271	WaveInitRate
Wave Init Rate	1	DMSO	BYLS162	NA	BR5271	WaveInitRate
Body Wave Number	1	DMSO	BYLS162	0.452533	BR5271	WaveNumber
Body Wave Number	1	DMSO	BYLS162	0.370941	BR5271	WaveNumber
Body Wave Number	1	DMSO	BYLS162	0.567215	BR5271	WaveNumber
Body Wave Number	1	DMSO	BYLS162	0.563402	BR5271	WaveNumber
Body Wave Number	1	DMSO	BYLS162	0.516437	BR5271	WaveNumber
Body Wave Number	1	DMSO	BYLS162	0.54883	BR5271	WaveNumber
Body Wave Number	1	DMSO	BYLS162	0.439847	BR5271	WaveNumber
Body Wave Number	1	DMSO	BYLS162	0.542106	BR5271	WaveNumber
Body Wave Number	1	DMSO	BYLS162	0.363742	BR5271	WaveNumber
Body Wave Number	1	DMSO	BYLS162	0.630886	BR5271	WaveNumber
Body Wave Number	1	DMSO	BYLS162	NA	BR5271	WaveNumber
Body Wave Number	1	DMSO	BYLS162	NA	BR5271	WaveNumber
Body Wave Number	1	DMSO	BYLS162	NA	BR5271	WaveNumber
Body Wave Number	1	DMSO	BYLS162	NA	BR5271	WaveNumber
Body Wave Number	1	DMSO	BYLS162	NA	BR5271	WaveNumber
Body Wave Number	1	DMSO	BYLS162	NA	BR5271	WaveNumber
Asymmetry	1	DMSO	BYLS162	-0.002544	BR5271	Asymmetry
Asymmetry	1	DMSO	BYLS162	0.006861	BR5271	Asymmetry
Asymmetry	1	DMSO	BYLS162	0.00142	BR5271	Asymmetry
Asymmetry	1	DMSO	BYLS162	-0.001002	BR5271	Asymmetry
Asymmetry	1	DMSO	BYLS162	3.61e-4	BR5271	Asymmetry
Asymmetry	1	DMSO	BYLS162	-0.011798	BR5271	Asymmetry
Asymmetry	1	DMSO	BYLS162	-0.005195	BR5271	Asymmetry
Asymmetry	1	DMSO	BYLS162	-0.017877	BR5271	Asymmetry
Asymmetry	1	DMSO	BYLS162	0.004645	BR5271	Asymmetry
Asymmetry	1	DMSO	BYLS162	0.006404	BR5271	Asymmetry
Asymmetry	1	DMSO	BYLS162	NA	BR5271	Asymmetry
Asymmetry	1	DMSO	BYLS162	NA	BR5271	Asymmetry
Asymmetry	1	DMSO	BYLS162	NA	BR5271	Asymmetry
Asymmetry	1	DMSO	BYLS162	NA	BR5271	Asymmetry
Asymmetry	1	DMSO	BYLS162	NA	BR5271	Asymmetry
Asymmetry	1	DMSO	BYLS162	NA	BR5271	Asymmetry
Stretch	1	DMSO	BYLS162	0.343786	BR5271	Stretch
Stretch	1	DMSO	BYLS162	0.362436	BR5271	Stretch
Stretch	1	DMSO	BYLS162	0.349298	BR5271	Stretch
Stretch	1	DMSO	BYLS162	0.354024	BR5271	Stretch
Stretch	1	DMSO	BYLS162	0.354189	BR5271	Stretch
Stretch	1	DMSO	BYLS162	0.301736	BR5271	Stretch
Stretch	1	DMSO	BYLS162	0.384492	BR5271	Stretch
Stretch	1	DMSO	BYLS162	0.378384	BR5271	Stretch
Stretch	1	DMSO	BYLS162	0.36623	BR5271	Stretch
Stretch	1	DMSO	BYLS162	0.389154	BR5271	Stretch
Stretch	1	DMSO	BYLS162	NA	BR5271	Stretch
Stretch	1	DMSO	BYLS162	NA	BR5271	Stretch
Stretch	1	DMSO	BYLS162	NA	BR5271	Stretch
Stretch	1	DMSO	BYLS162	NA	BR5271	Stretch
Stretch	1	DMSO	BYLS162	NA	BR5271	Stretch
Stretch	1	DMSO	BYLS162	NA	BR5271	Stretch
Attenuation	1	DMSO	BYLS162	20.753163	BR5271	Attenuation
Attenuation	1	DMSO	BYLS162	66.159942	BR5271	Attenuation
Attenuation	1	DMSO	BYLS162	56.33979	BR5271	Attenuation
Attenuation	1	DMSO	BYLS162	64.05543	BR5271	Attenuation
Attenuation	1	DMSO	BYLS162	36.116356	BR5271	Attenuation
Attenuation	1	DMSO	BYLS162	64.722373	BR5271	Attenuation
Attenuation	1	DMSO	BYLS162	29.091412	BR5271	Attenuation
Attenuation	1	DMSO	BYLS162	57.248558	BR5271	Attenuation
Attenuation	1	DMSO	BYLS162	25.696908	BR5271	Attenuation
Attenuation	1	DMSO	BYLS162	52.07485	BR5271	Attenuation
Attenuation	1	DMSO	BYLS162	NA	BR5271	Attenuation
Attenuation	1	DMSO	BYLS162	NA	BR5271	Attenuation
Attenuation	1	DMSO	BYLS162	NA	BR5271	Attenuation
Attenuation	1	DMSO	BYLS162	NA	BR5271	Attenuation
Attenuation	1	DMSO	BYLS162	NA	BR5271	Attenuation
Attenuation	1	DMSO	BYLS162	NA	BR5271	Attenuation
Reverse Swim	1	DMSO	BYLS162	0	BR5271	ReverseSwim
Reverse Swim	1	DMSO	BYLS162	0	BR5271	ReverseSwim
Reverse Swim	1	DMSO	BYLS162	0	BR5271	ReverseSwim
Reverse Swim	1	DMSO	BYLS162	0	BR5271	ReverseSwim
Reverse Swim	1	DMSO	BYLS162	0	BR5271	ReverseSwim
Reverse Swim	1	DMSO	BYLS162	0	BR5271	ReverseSwim
Reverse Swim	1	DMSO	BYLS162	0	BR5271	ReverseSwim
Reverse Swim	1	DMSO	BYLS162	0	BR5271	ReverseSwim
Reverse Swim	1	DMSO	BYLS162	0	BR5271	ReverseSwim
Reverse Swim	1	DMSO	BYLS162	0	BR5271	ReverseSwim
Reverse Swim	1	DMSO	BYLS162	NA	BR5271	ReverseSwim
Reverse Swim	1	DMSO	BYLS162	NA	BR5271	ReverseSwim
Reverse Swim	1	DMSO	BYLS162	NA	BR5271	ReverseSwim
Reverse Swim	1	DMSO	BYLS162	NA	BR5271	ReverseSwim
Reverse Swim	1	DMSO	BYLS162	NA	BR5271	ReverseSwim
Reverse Swim	1	DMSO	BYLS162	NA	BR5271	ReverseSwim
Curling	1	DMSO	BYLS162	1.454545	BR5271	Curling
Curling	1	DMSO	BYLS162	0.645161	BR5271	Curling
Curling	1	DMSO	BYLS162	0.882353	BR5271	Curling
Curling	1	DMSO	BYLS162	0.574713	BR5271	Curling
Curling	1	DMSO	BYLS162	0.748441	BR5271	Curling
Curling	1	DMSO	BYLS162	0	BR5271	Curling
Curling	1	DMSO	BYLS162	1.058824	BR5271	Curling
Curling	1	DMSO	BYLS162	0.336449	BR5271	Curling
Curling	1	DMSO	BYLS162	3.360996	BR5271	Curling
Curling	1	DMSO	BYLS162	0.740741	BR5271	Curling
Curling	1	DMSO	BYLS162	NA	BR5271	Curling
Curling	1	DMSO	BYLS162	NA	BR5271	Curling
Curling	1	DMSO	BYLS162	NA	BR5271	Curling
Curling	1	DMSO	BYLS162	NA	BR5271	Curling
Curling	1	DMSO	BYLS162	NA	BR5271	Curling
Curling	1	DMSO	BYLS162	NA	BR5271	Curling
Travel Speed	1	DMSO	BYLS162	8.007347	BR5271	TravelSpeed
Travel Speed	1	DMSO	BYLS162	4.92426	BR5271	TravelSpeed
Travel Speed	1	DMSO	BYLS162	3.929455	BR5271	TravelSpeed
Travel Speed	1	DMSO	BYLS162	10.289356	BR5271	TravelSpeed
Travel Speed	1	DMSO	BYLS162	16.459584	BR5271	TravelSpeed
Travel Speed	1	DMSO	BYLS162	3.3334	BR5271	TravelSpeed
Travel Speed	1	DMSO	BYLS162	0.244061	BR5271	TravelSpeed
Travel Speed	1	DMSO	BYLS162	12.690285	BR5271	TravelSpeed
Travel Speed	1	DMSO	BYLS162	6.170116	BR5271	TravelSpeed
Travel Speed	1	DMSO	BYLS162	1.855256	BR5271	TravelSpeed
Travel Speed	1	DMSO	BYLS162	NA	BR5271	TravelSpeed
Travel Speed	1	DMSO	BYLS162	NA	BR5271	TravelSpeed
Travel Speed	1	DMSO	BYLS162	NA	BR5271	TravelSpeed
