trt	time.point	rep	eth	but	ori	tot	ci	strain	run
DDT	Naive	B	18	14	1	61	-0.066667	N2	5
DDT	Naive	C	0	10	0	17	0.58824	N2	5
DMSO	0hr	A	0	81	1	102	0.80198	N2	5
DMSO	0hr	B	0	43	5	54	0.87755	N2	5
DMSO	0hr	C	0	24	1	28	0.88889	N2	5
DMSO	Naive	A	15	55	5	114	0.36697	N2	5
DMSO	Naive	B	17	94	6	145	0.55396	N2	5
DMSO	Naive	C	9	33	1	51	0.48	N2	5
DDT	0hr	1	3	29	1	33	0.8387096774193549	N2	1
DDT	0hr	2	7	133	6	146	0.9402985074626866	N2	1
DDT	0hr	3	2	14	0	16	0.75	N2	1
DMSO	0hr	1	6	220	7	233	0.9771689497716894	N2	1
DMSO	0hr	2	6	120	0	126	0.9047619047619048	N2	1
DMSO	0hr	3	5	140	7	152	0.9782608695652174	N2	1
DDT	Naive	1	20	13	1	34	-0.21875	N2	1
DDT	Naive	2	74	25	18	117	-0.6049382716049383	N2	1
DDT	Naive	3	89	35	28	152	-0.5625	N2	1
DMSO	Naive	1	36	20	12	68	-0.36363636363636365	N2	1
DMSO	Naive	2	37	21	9	67	-0.32653061224489793	N2	1
