Well	well.group	group	strain	treatment	azide	spare	mito	max	run
D05	NA	161 DMSO	161	DMSO	2.411428571	11.45583333	6.216071429	17.67190476	7
D06	NA	161 DMSO	161	DMSO	2.772222222	8.474907407	5.298055556	13.77296296	7
D07	NA	161 DMSO	161	DMSO	1.06952381	20.73916667	7.643690476	28.38285714	7
D08	NA	161 DMSO	161	DMSO	2.233888889	-0.673333333	6.959444444	6.286111111	7
D09	NA	161 DMSO	161	DMSO	0.326666667	16.22	5.06	21.28	7
G01	NA	161 DDT	161	DDT	1.316875	0.935104167	4.1628125	5.097916667	7
G02	NA	161 DDT	161	DDT	0.277333333	5.662833333	2.2865	7.949333333	7
G03	NA	161 DDT	161	DDT	2.029791667	4.167083333	2.595208333	6.762291667	7
G04	NA	161 DDT	161	DDT	0.927435897	0.849679487	8.158525641	9.008205128	7
G05	NA	161 DDT	161	DDT	0.745416667	6.004791667	3.986458333	9.99125	7
G06	NA	161 DDT	161	DDT	0.724722222	5.567847222	6.527152778	12.095	7
G07	NA	161 DDT	161	DDT	0.685714286	0.468809524	6.886428571	7.355238095	7
G08	NA	161 DDT	161	DDT	1.449444444	11.61583333	4.655555556	16.27138889	7
G09	NA	161 DDT	161	DDT	1.437179487	1.367435897	1.930512821	3.297948718	7
D01	D	162 DMSO	162	DMSO	2.55372549	6.060441176	11.29936275	17.35980392	3
D02	D	162 DMSO	162	DMSO	3.915277778	2.491597222	10.17743056	12.66902778	3
D03	D	162 DMSO	162	DMSO	0.695964912	9.352894737	12.46745614	21.82035088	3
D04	D	162 DMSO	162	DMSO	2.686984127	2.157380952	18.62230159	20.77968254	3
D05	D	162 DMSO	162	DMSO	2.82025641	10.4950641	14.0649359	24.56	3
D06	D	162 DMSO	162	DMSO	2.33	26.90114583	11.1984375	38.09958333	3
D07	D	162 DMSO	162	DMSO	2.032444444	7.260388889	9.121388889	16.38177778	3
D08	D	162 DMSO	162	DMSO	2.007407407	11.94768519	7.908981481	19.85666667	3
D09	D	162 DMSO	162	DMSO	2.394666667	3.2525	5.420833333	8.673333333	3
D10	D	162 DMSO	162	DMSO	3.354358974	6.95974359	10.09794872	17.05769231	3
D11	D	162 DMSO	162	DMSO	3.626060606	17.75530303	4.978030303	22.73333333	3
F01	F	162 DDT	162	DDT	0.980289855	11.9440942	3.358514493	15.3026087	3
F03	F	162 DDT	162	DDT	1.160666667	1.600791667	2.768208333	4.369	3
F04	F	162 DDT	162	DDT	1.456888889	11.02225	4.033194444	15.05544444	3
F05	F	162 DDT	162	DDT	0.93030303	2.81155303	5.16344697	7.975	3
F06	F	162 DDT	162	DDT	1.207901235	4.954012346	3.870061728	8.824074074	3
F08	F	162 DDT	162	DDT	1.178833333	8.776	2.495166667	11.27116667	3
D01	NA	162 DMSO	162	DMSO	6.317333333	11.18594444	14.96183333	26.14777778	5
D02	NA	162 DMSO	162	DMSO	3.746363636	28.72787879	9.120909091	37.84878788	5
D03	NA	162 DMSO	162	DMSO	7.493333333	46.4595	2.871166667	49.33066667	5
D04	NA	162 DMSO	162	DMSO	4.793611111	16.489375	12.52784722	29.01722222	5
D05	NA	162 DMSO	162	DMSO	5.296111111	27.810625	12.88493056	40.69555556	5
D06	NA	162 DMSO	162	DMSO	11.31	24.216875	10.363125	34.58	5
D07	NA	162 DMSO	162	DMSO	4.196923077	4.849487179	12.71153846	17.56102564	5
D08	NA	162 DMSO	162	DMSO	3.885308642	7.044845679	13.5629321	20.60777778	5
D09	NA	162 DMSO	162	DMSO	5.020793651	14.24785714	14.06230159	28.31015873	5
D10	NA	162 DMSO	162	DMSO	5.41968254	3.178888889	15.83888889	19.01777778	5
D12	NA	162 DMSO	162	DMSO	2.272222222	27.90611111	15.24444444	43.15055556	5
G01	NA	162 DDT	162	DDT	1.836470588	0.977647059	7.906470588	8.884117647	5
G02	NA	162 DDT	162	DDT	1.301818182	5.482575758	3.241363636	8.723939394	5
G03	NA	162 DDT	162	DDT	2.917575758	-3.46030303	9.662424242	6.202121212	5
G04	NA	162 DDT	162	DDT	1.178148148	0.741111111	4.456296296	5.197407407	5
G05	NA	162 DDT	162	DDT	2.436666667	3.616547619	7.288690476	10.9052381	5
G06	NA	162 DDT	162	DDT	0.310833333	15.5	5.774166667	21.27416667	5
G07	NA	162 DDT	162	DDT	1.607142857	6.750059524	6.476607143	13.22666667	5
G08	NA	162 DDT	162	DDT	3.188636364	7.168522727	5.371022727	12.53954545	5
