Measurement	Well	Group	Time	OCR
8	H05	Background	35.64	0.00
8	H06	Background	35.64	0.00
8	H07	Background	35.64	0.00
8	H08	Background	35.64	0.00
8	H09	Background	35.64	0.00
8	H10	Background	35.64	0.00
8	H11	Background	35.64	0.00
8	H12	Background	35.64	0.00
9	A01	Background	40.61	0.00
9	A02	Background	40.61	0.00
9	A03	Background	40.61	0.00
9	A04	Background	40.61	0.00
9	A05	Background	40.61	0.00
9	A06	Background	40.61	0.00
9	A07	Background	40.61	0.00
9	A08	Background	40.61	0.00
9	A09	Background	40.61	0.00
9	A10	Background	40.61	0.00
9	A11	Background	40.61	0.00
9	A12	Background	40.61	0.00
9	B01	WT Control	40.61	401.35
9	B02	WT Control	40.61	699.64
9	B03	WT Control	40.61	384.82
9	B04	WT Control	40.61	758.37
9	B05	WT Control	40.61	571.46
9	B06	WT Control	40.61	707.33
9	B07	WT Control	40.61	626.53
9	B08	WT Control	40.61	466.89
9	B09	WT Control	40.61	647.70
9	B10	WT Control	40.61	409.54
9	B11	WT Control	40.61	666.80
9	B12	WT Control	40.61	528.19
9	C01	161 Control	40.61	119.93
9	C02	161 Control	40.61	68.31
9	C03	161 Control	40.61	108.39
9	C04	161 Control	40.61	102.12
9	C05	161 Control	40.61	393.57
9	C06	161 Control	40.61	129.94
9	C07	mev-1 Control	40.61	258.06
9	C08	mev-1 Control	40.61	422.19
9	C09	mev-1 Control	40.61	427.47
9	C10	mev-1 Control	40.61	379.74
9	C11	mev-1 Control	40.61	341.88
9	C12	mev-1 Control	40.61	528.10
9	D01	162 Control	40.61	505.32
9	D02	162 Control	40.61	607.17
9	D03	162 Control	40.61	387.09
9	D04	162 Control	40.61	474.69
9	D05	162 Control	40.61	663.78
9	D06	162 Control	40.61	108.83
9	D07	162 Control	40.61	368.75
9	D08	162 Control	40.61	632.96
9	D09	162 Control	40.61	883.90
9	D10	162 Control	40.61	579.18
9	D11	162 Control	40.61	717.76
9	D12	162 Control	40.61	72.10
9	E01	WT DDT	40.61	277.39
9	E02	WT DDT	40.61	294.91
9	E03	WT DDT	40.61	145.87
9	E04	WT DDT	40.61	322.66
9	E05	WT DDT	40.61	27.40
9	E06	WT DDT	40.61	448.40
9	E07	WT DDT	40.61	750.84
9	E08	WT DDT	40.61	188.59
9	E09	WT DDT	40.61	123.37
9	E10	WT DDT	40.61	58.35
9	E11	WT DDT	40.61	74.18
9	E12	WT DDT	40.61	64.57
9	F01	161 DDT	40.61	67.49
9	F02	161 DDT	40.61	22.02
9	F03	161 DDT	40.61	47.28
9	F04	161 DDT	40.61	60.22
9	F05	161 DDT	40.61	90.83
9	F06	161 DDT	40.61	57.54
9	F07	mev-1 DDT	40.61	81.05
9	F08	mev-1 DDT	40.61	15.48
9	F09	mev-1 DDT	40.61	17.16
9	F10	mev-1 DDT	40.61	81.86
9	F11	mev-1 DDT	40.61	42.05
9	F12	mev-1 DDT	40.61	33.26
9	G01	162 DDT	40.61	112.82
9	G02	162 DDT	40.61	64.85
9	G03	162 DDT	40.61	128.88
9	G04	162 DDT	40.61	117.86
9	G05	162 DDT	40.61	160.71
9	G06	162 DDT	40.61	86.35
9	G07	162 DDT	40.61	269.18
9	G08	162 DDT	40.61	243.80
9	G09	162 DDT	40.61	396.91
9	G10	162 DDT	40.61	180.16
9	G11	162 DDT	40.61	78.49
9	G12	162 DDT	40.61	190.76
9	H01	Background	40.61	0.00
9	H02	Background	40.61	0.00
9	H03	Background	40.61	0.00
9	H04	Background	40.61	0.00
9	H05	Background	40.61	0.00
9	H06	Background	40.61	0.00
9	H07	Background	40.61	0.00
9	H08	Background	40.61	0.00
9	H09	Background	40.61	0.00
9	H10	Background	40.61	0.00
9	H11	Background	40.61	0.00
9	H12	Background	40.61	0.00
10	A01	Background	45.58	0.00
10	A02	Background	45.58	0.00
10	A03	Background	45.58	0.00
10	A04	Background	45.58	0.00
10	A05	Background	45.58	0.00
10	A06	Background	45.58	0.00
10	A07	Background	45.58	0.00
10	A08	Background	45.58	0.00
10	A09	Background	45.58	0.00
10	A10	Background	45.58	0.00
10	A11	Background	45.58	0.00
10	A12	Background	45.58	0.00
10	B01	WT Control	45.58	444.75
10	B02	WT Control	45.58	470.72
10	B03	WT Control	45.58	457.96
10	B04	WT Control	45.58	596.50
10	B05	WT Control	45.58	760.58
10	B06	WT Control	45.58	589.64
10	B07	WT Control	45.58	623.98
10	B08	WT Control	45.58	643.86
10	B09	WT Control	45.58	591.77
10	B10	WT Control	45.58	392.52
10	B11	WT Control	45.58	740.07
10	B12	WT Control	45.58	411.37
10	C01	161 Control	45.58	87.54
10	C02	161 Control	45.58	43.18
10	C03	161 Control	45.58	223.03
10	C04	161 Control	45.58	93.33
10	C05	161 Control	45.58	195.03
10	C06	161 Control	45.58	103.12
10	C07	mev-1 Control	45.58	233.27
10	C08	mev-1 Control	45.58	457.35
10	C09	mev-1 Control	45.58	442.63
10	C10	mev-1 Control	45.58	361.13
10	C11	mev-1 Control	45.58	435.39
10	C12	mev-1 Control	45.58	491.43
10	D01	162 Control	45.58	573.83
10	D02	162 Control	45.58	507.49
10	D03	162 Control	45.58	345.25
10	D04	162 Control	45.58	494.00
10	D05	162 Control	45.58	681.49
10	D06	162 Control	45.58	111.69
10	D07	162 Control	45.58	233.35
10	D08	162 Control	45.58	510.49
10	D09	162 Control	45.58	783.29
10	D10	162 Control	45.58	425.08
10	D11	162 Control	45.58	789.57
10	D12	162 Control	45.58	249.77
10	E01	WT DDT	45.58	248.04
10	E02	WT DDT	45.58	210.59
10	E03	WT DDT	45.58	215.62
10	E04	WT DDT	45.58	239.86
10	E05	WT DDT	45.58	39.46
10	E06	WT DDT	45.58	460.68
10	E07	WT DDT	45.58	793.77
10	E08	WT DDT	45.58	193.01
10	E09	WT DDT	45.58	244.42
10	E10	WT DDT	45.58	86.61
10	E11	WT DDT	45.58	83.93
10	E12	WT DDT	45.58	49.50
10	F01	161 DDT	45.58	92.35
10	F02	161 DDT	45.58	42.20
10	F03	161 DDT	45.58	75.39
10	F04	161 DDT	45.58	73.53
10	F05	161 DDT	45.58	116.50
10	F06	161 DDT	45.58	34.47
10	F07	mev-1 DDT	45.58	70.78
10	F08	mev-1 DDT	45.58	8.43
10	F09	mev-1 DDT	45.58	21.20
10	F10	mev-1 DDT	45.58	74.09
10	F11	mev-1 DDT	45.58	41.09
10	F12	mev-1 DDT	45.58	29.50
10	G01	162 DDT	45.58	107.33
10	G02	162 DDT	45.58	58.16
10	G03	162 DDT	45.58	111.00
10	G04	162 DDT	45.58	58.82
10	G05	162 DDT	45.58	109.58
10	G06	162 DDT	45.58	84.86
10	G07	162 DDT	45.58	213.65
10	G08	162 DDT	45.58	348.37
10	G09	162 DDT	45.58	252.76
10	G10	162 DDT	45.58	118.26
10	G11	162 DDT	45.58	75.19
10	G12	162 DDT	45.58	102.78
10	H01	Background	45.58	0.00
10	H02	Background	45.58	0.00
10	H03	Background	45.58	0.00
10	H04	Background	45.58	0.00
10	H05	Background	45.58	0.00
10	H06	Background	45.58	0.00
10	H07	Background	45.58	0.00
10	H08	Background	45.58	0.00
10	H09	Background	45.58	0.00
10	H10	Background	45.58	0.00
10	H11	Background	45.58	0.00
10	H12	Background	45.58	0.00
11	A01	Background	50.55	0.00
11	A02	Background	50.55	0.00
11	A03	Background	50.55	0.00
11	A04	Background	50.55	0.00
11	A05	Background	50.55	0.00
11	A06	Background	50.55	0.00
11	A07	Background	50.55	0.00
11	A08	Background	50.55	0.00
11	A09	Background	50.55	0.00
11	A10	Background	50.55	0.00
11	A11	Background	50.55	0.00
11	A12	Background	50.55	0.00
11	B01	WT Control	50.55	322.56
11	B02	WT Control	50.55	730.55
11	B03	WT Control	50.55	636.01
11	B04	WT Control	50.55	570.56
11	B05	WT Control	50.55	612.84
11	B06	WT Control	50.55	822.88
11	B07	WT Control	50.55	528.66
11	B08	WT Control	50.55	633.00
11	B09	WT Control	50.55	617.95
11	B10	WT Control	50.55	410.21
11	B11	WT Control	50.55	593.56
11	B12	WT Control	50.55	704.11
11	C01	161 Control	50.55	160.07
11	C02	161 Control	50.55	49.14
11	C03	161 Control	50.55	161.23
11	C04	161 Control	50.55	91.08
11	C05	161 Control	50.55	237.48
11	C06	161 Control	50.55	153.08
11	C07	mev-1 Control	50.55	238.90
11	C08	mev-1 Control	50.55	412.22
11	C09	mev-1 Control	50.55	450.67
11	C10	mev-1 Control	50.55	325.71
11	C11	mev-1 Control	50.55	435.04
11	C12	mev-1 Control	50.55	583.77
11	D01	162 Control	50.55	408.61
11	D02	162 Control	50.55	390.87
11	D03	162 Control	50.55	345.78
11	D04	162 Control	50.55	358.38
11	D05	162 Control	50.55	652.80
11	D06	162 Control	50.55	147.22
11	D07	162 Control	50.55	154.22
11	D08	162 Control	50.55	877.33
11	D09	162 Control	50.55	645.32
11	D10	162 Control	50.55	352.39
11	D11	162 Control	50.55	595.17
11	D12	162 Control	50.55	353.21
11	E01	WT DDT	50.55	198.79
11	E02	WT DDT	50.55	164.88
11	E03	WT DDT	50.55	118.37
11	E04	WT DDT	50.55	185.08
11	E05	WT DDT	50.55	160.26
11	E06	WT DDT	50.55	385.94
11	E07	WT DDT	50.55	964.10
11	E08	WT DDT	50.55	200.94
11	E09	WT DDT	50.55	317.20
11	E10	WT DDT	50.55	92.92
11	E11	WT DDT	50.55	91.42
11	E12	WT DDT	50.55	25.64
11	F01	161 DDT	50.55	83.16
11	F02	161 DDT	50.55	72.75
11	F03	161 DDT	50.55	82.29
11	F04	161 DDT	50.55	107.43
11	F05	161 DDT	50.55	117.53
11	F06	161 DDT	50.55	64.55
11	F07	mev-1 DDT	50.55	90.34
11	F08	mev-1 DDT	50.55	6.94
11	F09	mev-1 DDT	50.55	26.13
11	F10	mev-1 DDT	50.55	91.58
11	F11	mev-1 DDT	50.55	40.09
11	F12	mev-1 DDT	50.55	41.18
11	G01	162 DDT	50.55	228.49
11	G02	162 DDT	50.55	158.08
11	G03	162 DDT	50.55	98.43
11	G04	162 DDT	50.55	51.39
11	G05	162 DDT	50.55	76.08
11	G06	162 DDT	50.55	153.25
11	G07	162 DDT	50.55	224.91
11	G08	162 DDT	50.55	305.41
11	G09	162 DDT	50.55	265.08
11	G10	162 DDT	50.55	60.78
11	G11	162 DDT	50.55	53.80
11	G12	162 DDT	50.55	24.52
11	H01	Background	50.55	0.00
11	H02	Background	50.55	0.00
11	H03	Background	50.55	0.00
11	H04	Background	50.55	0.00
11	H05	Background	50.55	0.00
11	H06	Background	50.55	0.00
11	H07	Background	50.55	0.00
11	H08	Background	50.55	0.00
11	H09	Background	50.55	0.00
11	H10	Background	50.55	0.00
11	H11	Background	50.55	0.00
11	H12	Background	50.55	0.00
12	A01	Background	55.52	0.00
12	A02	Background	55.52	0.00
12	A03	Background	55.52	0.00
12	A04	Background	55.52	0.00
12	A05	Background	55.52	0.00
12	A06	Background	55.52	0.00
12	A07	Background	55.52	0.00
12	A08	Background	55.52	0.00
12	A09	Background	55.52	0.00
12	A10	Background	55.52	0.00
12	A11	Background	55.52	0.00
12	A12	Background	55.52	0.00
12	B01	WT Control	55.52	629.22
12	B02	WT Control	55.52	634.54
12	B03	WT Control	55.52	326.02
12	B04	WT Control	55.52	627.94
12	B05	WT Control	55.52	561.99
12	B06	WT Control	55.52	651.55
12	B07	WT Control	55.52	436.29
12	B08	WT Control	55.52	594.57
12	B09	WT Control	55.52	266.66
12	B10	WT Control	55.52	271.88
12	B11	WT Control	55.52	771.34
12	B12	WT Control	55.52	564.03
12	C01	161 Control	55.52	194.65
12	C02	161 Control	55.52	58.59
12	C03	161 Control	55.52	163.63
12	C04	161 Control	55.52	81.09
12	C05	161 Control	55.52	229.63
12	C06	161 Control	55.52	113.49
12	C07	mev-1 Control	55.52	324.48
12	C08	mev-1 Control	55.52	374.85
12	C09	mev-1 Control	55.52	451.74
12	C10	mev-1 Control	55.52	381.91
12	C11	mev-1 Control	55.52	408.87
12	C12	mev-1 Control	55.52	666.76
12	D01	162 Control	55.52	478.49
12	D02	162 Control	55.52	474.28
12	D03	162 Control	55.52	161.33
12	D04	162 Control	55.52	364.81
12	D05	162 Control	55.52	321.41
12	D06	162 Control	55.52	291.77
12	D07	162 Control	55.52	460.99
12	D08	162 Control	55.52	596.12
12	D09	162 Control	55.52	671.24
12	D10	162 Control	55.52	762.09
12	D11	162 Control	55.52	789.03
12	D12	162 Control	55.52	214.63
12	E01	WT DDT	55.52	227.34
12	E02	WT DDT	55.52	284.71
12	E03	WT DDT	55.52	207.33
12	E04	WT DDT	55.52	158.30
12	E05	WT DDT	55.52	21.20
12	E06	WT DDT	55.52	326.82
12	E07	WT DDT	55.52	552.22
12	E08	WT DDT	55.52	188.08
12	E09	WT DDT	55.52	171.80
12	E10	WT DDT	55.52	65.96
12	E11	WT DDT	55.52	133.79
12	E12	WT DDT	55.52	54.42
12	F01	161 DDT	55.52	61.61
12	F02	161 DDT	55.52	34.17
12	F03	161 DDT	55.52	108.29
12	F04	161 DDT	55.52	95.54
12	F05	161 DDT	55.52	137.22
12	F06	161 DDT	55.52	42.28
12	F07	mev-1 DDT	55.52	98.05
12	F08	mev-1 DDT	55.52	12.65
12	F09	mev-1 DDT	55.52	25.22
12	F10	mev-1 DDT	55.52	68.01
12	F11	mev-1 DDT	55.52	63.74
12	F12	mev-1 DDT	55.52	55.39
12	G01	162 DDT	55.52	210.93
12	G02	162 DDT	55.52	114.61
12	G03	162 DDT	55.52	91.52
12	G04	162 DDT	55.52	61.93
12	G05	162 DDT	55.52	94.52
12	G06	162 DDT	55.52	20.91
12	G07	162 DDT	55.52	184.46
12	G08	162 DDT	55.52	384.28
12	G09	162 DDT	55.52	255.43
12	G10	162 DDT	55.52	152.50
12	G11	162 DDT	55.52	66.61
12	G12	162 DDT	55.52	122.44
12	H01	Background	55.52	0.00
12	H02	Background	55.52	0.00
12	H03	Background	55.52	0.00
12	H04	Background	55.52	0.00
12	H05	Background	55.52	0.00
12	H06	Background	55.52	0.00
12	H07	Background	55.52	0.00
12	H08	Background	55.52	0.00
12	H09	Background	55.52	0.00
12	H10	Background	55.52	0.00
12	H11	Background	55.52	0.00
12	H12	Background	55.52	0.00
13	A01	Background	60.49	0.00
13	A02	Background	60.49	0.00
13	A03	Background	60.49	0.00
13	A04	Background	60.49	0.00
13	A05	Background	60.49	0.00
13	A06	Background	60.49	0.00
13	A07	Background	60.49	0.00
13	A08	Background	60.49	0.00
13	A09	Background	60.49	0.00
13	A10	Background	60.49	0.00
13	A11	Background	60.49	0.00
13	A12	Background	60.49	0.00
13	B01	WT Control	60.49	503.50
13	B02	WT Control	60.49	595.40
13	B03	WT Control	60.49	582.83
13	B04	WT Control	60.49	631.47
13	B05	WT Control	60.49	595.72
13	B06	WT Control	60.49	711.25
13	B07	WT Control	60.49	300.80
13	B08	WT Control	60.49	606.87
13	B09	WT Control	60.49	410.40
13	B10	WT Control	60.49	426.84
13	B11	WT Control	60.49	662.11
13	B12	WT Control	60.49	623.75
13	C01	161 Control	60.49	66.86
13	C02	161 Control	60.49	39.86
13	C03	161 Control	60.49	94.83
13	C04	161 Control	60.49	157.54
13	C05	161 Control	60.49	150.00
13	C06	161 Control	60.49	124.68
13	C07	mev-1 Control	60.49	288.81
13	C08	mev-1 Control	60.49	382.86
13	C09	mev-1 Control	60.49	389.06
13	C10	mev-1 Control	60.49	318.73
13	C11	mev-1 Control	60.49	454.33
13	C12	mev-1 Control	60.49	562.89
13	D01	162 Control	60.49	782.81
13	D02	162 Control	60.49	531.63
13	D03	162 Control	60.49	205.63
13	D04	162 Control	60.49	404.45
13	D05	162 Control	60.49	580.40
13	D06	162 Control	60.49	421.00
13	D07	162 Control	60.49	496.10
13	D08	162 Control	60.49	586.97
13	D09	162 Control	60.49	649.22
13	D10	162 Control	60.49	533.89
13	D11	162 Control	60.49	756.00
13	D12	162 Control	60.49	25.45
13	E01	WT DDT	60.49	273.15
13	E02	WT DDT	60.49	270.76
13	E03	WT DDT	60.49	160.37
13	E04	WT DDT	60.49	145.69
13	E05	WT DDT	60.49	143.76
13	E06	WT DDT	60.49	477.39
13	E07	WT DDT	60.49	793.44
13	E08	WT DDT	60.49	171.01
13	E09	WT DDT	60.49	219.87
13	E10	WT DDT	60.49	61.63
13	E11	WT DDT	60.49	68.27
13	E12	WT DDT	60.49	60.90
13	F01	161 DDT	60.49	94.99
13	F02	161 DDT	60.49	66.03
13	F03	161 DDT	60.49	62.51
13	F04	161 DDT	60.49	74.99
13	F05	161 DDT	60.49	149.64
13	F06	161 DDT	60.49	48.39
13	F07	mev-1 DDT	60.49	134.81
13	F08	mev-1 DDT	60.49	10.50
13	F09	mev-1 DDT	60.49	23.65
13	F10	mev-1 DDT	60.49	84.50
13	F11	mev-1 DDT	60.49	47.64
13	F12	mev-1 DDT	60.49	34.09
13	G01	162 DDT	60.49	215.97
13	G02	162 DDT	60.49	105.88
13	G03	162 DDT	60.49	121.72
13	G04	162 DDT	60.49	64.47
13	G05	162 DDT	60.49	69.73
13	G06	162 DDT	60.49	31.48
13	G07	162 DDT	60.49	138.23
13	G08	162 DDT	60.49	349.20
13	G09	162 DDT	60.49	250.75
13	G10	162 DDT	60.49	214.47
13	G11	162 DDT	60.49	104.38
13	G12	162 DDT	60.49	275.34
13	H01	Background	60.49	0.00
13	H02	Background	60.49	0.00
13	H03	Background	60.49	0.00
13	H04	Background	60.49	0.00
13	H05	Background	60.49	0.00
13	H06	Background	60.49	0.00
13	H07	Background	60.49	0.00
13	H08	Background	60.49	0.00
13	H09	Background	60.49	0.00
13	H10	Background	60.49	0.00
13	H11	Background	60.49	0.00
13	H12	Background	60.49	0.00
14	A01	Background	65.46	0.00
14	A02	Background	65.46	0.00
14	A03	Background	65.46	0.00
14	A04	Background	65.46	0.00
14	A05	Background	65.46	0.00
14	A06	Background	65.46	0.00
14	A07	Background	65.46	0.00
14	A08	Background	65.46	0.00
14	A09	Background	65.46	0.00
14	A10	Background	65.46	0.00
14	A11	Background	65.46	0.00
14	A12	Background	65.46	0.00
14	B01	WT Control	65.46	465.42
14	B02	WT Control	65.46	578.42
14	B03	WT Control	65.46	343.09
14	B04	WT Control	65.46	621.18
14	B05	WT Control	65.46	813.99
14	B06	WT Control	65.46	519.74
14	B07	WT Control	65.46	590.39
14	B08	WT Control	65.46	643.73
14	B09	WT Control	65.46	462.70
14	B10	WT Control	65.46	466.55
14	B11	WT Control	65.46	711.54
14	B12	WT Control	65.46	615.62
14	C01	161 Control	65.46	111.14
14	C02	161 Control	65.46	50.23
14	C03	161 Control	65.46	58.21
14	C04	161 Control	65.46	133.89
14	C05	161 Control	65.46	126.75
14	C06	161 Control	65.46	154.56
14	C07	mev-1 Control	65.46	280.03
14	C08	mev-1 Control	65.46	422.40
14	C09	mev-1 Control	65.46	381.01
14	C10	mev-1 Control	65.46	307.09
14	C11	mev-1 Control	65.46	486.52
14	C12	mev-1 Control	65.46	581.59
14	D01	162 Control	65.46	476.24
14	D02	162 Control	65.46	487.47
14	D03	162 Control	65.46	104.93
14	D04	162 Control	65.46	527.09
14	D05	162 Control	65.46	368.55
14	D06	162 Control	65.46	278.35
14	D07	162 Control	65.46	405.37
14	D08	162 Control	65.46	376.29
14	D09	162 Control	65.46	564.20
14	D10	162 Control	65.46	810.39
14	D11	162 Control	65.46	595.02
14	D12	162 Control	65.46	150.87
14	E01	WT DDT	65.46	276.51
14	E02	WT DDT	65.46	273.00
14	E03	WT DDT	65.46	215.94
14	E04	WT DDT	65.46	186.11
14	E05	WT DDT	65.46	55.96
14	E06	WT DDT	65.46	348.00
14	E07	WT DDT	65.46	571.93
14	E08	WT DDT	65.46	295.77
14	E09	WT DDT	65.46	179.58
14	E10	WT DDT	65.46	121.65
14	E11	WT DDT	65.46	60.75
14	E12	WT DDT	65.46	62.60
14	F01	161 DDT	65.46	104.16
14	F02	161 DDT	65.46	102.51
14	F03	161 DDT	65.46	65.52
14	F04	161 DDT	65.46	70.10
14	F05	161 DDT	65.46	138.10
14	F06	161 DDT	65.46	78.26
14	F07	mev-1 DDT	65.46	91.56
14	F08	mev-1 DDT	65.46	20.02
14	F09	mev-1 DDT	65.46	19.35
14	F10	mev-1 DDT	65.46	96.55
14	F11	mev-1 DDT	65.46	51.46
14	F12	mev-1 DDT	65.46	39.15
14	G01	162 DDT	65.46	238.35
14	G02	162 DDT	65.46	43.54
14	G03	162 DDT	65.46	186.48
14	G04	162 DDT	65.46	95.40
14	G05	162 DDT	65.46	109.28
14	G06	162 DDT	65.46	57.01
14	G07	162 DDT	65.46	222.94
14	G08	162 DDT	65.46	284.51
14	G09	162 DDT	65.46	340.39
14	G10	162 DDT	65.46	253.16
14	G11	162 DDT	65.46	108.46
14	G12	162 DDT	65.46	-47.57
14	H01	Background	65.46	0.00
14	H02	Background	65.46	0.00
14	H03	Background	65.46	0.00
14	H04	Background	65.46	0.00
14	H05	Background	65.46	0.00
14	H06	Background	65.46	0.00
14	H07	Background	65.46	0.00
14	H08	Background	65.46	0.00
14	H09	Background	65.46	0.00
14	H10	Background	65.46	0.00
14	H11	Background	65.46	0.00
14	H12	Background	65.46	0.00
15	A01	Background	70.52	0.00
15	A02	Background	70.52	0.00
15	A03	Background	70.52	0.00
15	A04	Background	70.52	0.00
15	A05	Background	70.52	0.00
15	A06	Background	70.52	0.00
15	A07	Background	70.52	0.00
15	A08	Background	70.52	0.00
15	A09	Background	70.52	0.00
15	A10	Background	70.52	0.00
15	A11	Background	70.52	0.00
15	A12	Background	70.52	0.00
15	B01	WT Control	70.52	41.57
15	B02	WT Control	70.52	100.80
15	B03	WT Control	70.52	37.64
15	B04	WT Control	70.52	64.89
15	B05	WT Control	70.52	112.00
15	B06	WT Control	70.52	102.13
15	B07	WT Control	70.52	125.86
15	B08	WT Control	70.52	90.24
15	B09	WT Control	70.52	53.75
15	B10	WT Control	70.52	51.18
15	B11	WT Control	70.52	124.46
15	B12	WT Control	70.52	94.19
15	C01	161 Control	70.52	15.99
15	C02	161 Control	70.52	6.67
15	C03	161 Control	70.52	21.43
15	C04	161 Control	70.52	11.14
15	C05	161 Control	70.52	23.07
15	C06	161 Control	70.52	11.11
15	C07	mev-1 Control	70.52	27.56
15	C08	mev-1 Control	70.52	20.42
15	C09	mev-1 Control	70.52	27.91
15	C10	mev-1 Control	70.52	34.66
15	C11	mev-1 Control	70.52	39.68
15	C12	mev-1 Control	70.52	47.76
15	D01	162 Control	70.52	94.95
15	D02	162 Control	70.52	37.49
15	D03	162 Control	70.52	21.17
15	D04	162 Control	70.52	55.65
15	D05	162 Control	70.52	50.25
15	D06	162 Control	70.52	37.94
15	D07	162 Control	70.52	56.65
15	D08	162 Control	70.52	102.08
15	D09	162 Control	70.52	93.16
15	D10	162 Control	70.52	91.49
15	D11	162 Control	70.52	121.87
15	D12	162 Control	70.52	12.86
15	E01	WT DDT	70.52	28.89
15	E02	WT DDT	70.52	30.45
15	E03	WT DDT	70.52	22.81
15	E04	WT DDT	70.52	12.51
15	E05	WT DDT	70.52	4.76
15	E06	WT DDT	70.52	58.17
15	E07	WT DDT	70.52	100.14
15	E08	WT DDT	70.52	17.09
15	E09	WT DDT	70.52	61.56
15	E10	WT DDT	70.52	11.65
15	E11	WT DDT	70.52	12.42
15	E12	WT DDT	70.52	24.78
15	F01	161 DDT	70.52	14.58
15	F02	161 DDT	70.52	4.06
15	F03	161 DDT	70.52	29.87
15	F04	161 DDT	70.52	6.08
15	F05	161 DDT	70.52	8.61
15	F06	161 DDT	70.52	4.71
15	F07	mev-1 DDT	70.52	14.88
15	F08	mev-1 DDT	70.52	4.06
15	F09	mev-1 DDT	70.52	-1.06
15	F10	mev-1 DDT	70.52	4.91
15	F11	mev-1 DDT	70.52	9.58
15	F12	mev-1 DDT	70.52	5.77
15	G01	162 DDT	70.52	34.10
15	G02	162 DDT	70.52	13.70
15	G03	162 DDT	70.52	32.51
15	G04	162 DDT	70.52	13.92
15	G05	162 DDT	70.52	20.59
15	G06	162 DDT	70.52	1.44
15	G07	162 DDT	70.52	24.25
15	G08	162 DDT	70.52	72.26
15	G09	162 DDT	70.52	62.70
15	G10	162 DDT	70.52	23.37
15	G11	162 DDT	70.52	50.93
15	G12	162 DDT	70.52	25.56
15	H01	Background	70.52	0.00
15	H02	Background	70.52	0.00
15	H03	Background	70.52	0.00
15	H04	Background	70.52	0.00
15	H05	Background	70.52	0.00
15	H06	Background	70.52	0.00
15	H07	Background	70.52	0.00
15	H08	Background	70.52	0.00
15	H09	Background	70.52	0.00
15	H10	Background	70.52	0.00
15	H11	Background	70.52	0.00
15	H12	Background	70.52	0.00
16	A01	Background	75.49	0.00
16	A02	Background	75.49	0.00
16	A03	Background	75.49	0.00
16	A04	Background	75.49	0.00
16	A05	Background	75.49	0.00
16	A06	Background	75.49	0.00
16	A07	Background	75.49	0.00
16	A08	Background	75.49	0.00
16	A09	Background	75.49	0.00
16	A10	Background	75.49	0.00
16	A11	Background	75.49	0.00
16	A12	Background	75.49	0.00
16	B01	WT Control	75.49	44.35
16	B02	WT Control	75.49	104.31
16	B03	WT Control	75.49	46.70
16	B04	WT Control	75.49	71.60
16	B05	WT Control	75.49	115.14
16	B06	WT Control	75.49	103.43
16	B07	WT Control	75.49	98.76
16	B08	WT Control	75.49	129.74
16	B09	WT Control	75.49	73.16
16	B10	WT Control	75.49	79.03
16	B11	WT Control	75.49	140.11
16	B12	WT Control	75.49	104.02
16	C01	161 Control	75.49	18.76
16	C02	161 Control	75.49	8.13
16	C03	161 Control	75.49	18.21
16	C04	161 Control	75.49	12.24
16	C05	161 Control	75.49	29.79
16	C06	161 Control	75.49	11.55
16	C07	mev-1 Control	75.49	25.27
16	C08	mev-1 Control	75.49	27.48
16	C09	mev-1 Control	75.49	31.72
16	C10	mev-1 Control	75.49	32.90
16	C11	mev-1 Control	75.49	45.10
16	C12	mev-1 Control	75.49	56.54
16	D01	162 Control	75.49	95.31
16	D02	162 Control	75.49	41.88
16	D03	162 Control	75.49	41.17
16	D04	162 Control	75.49	57.43
16	D05	162 Control	75.49	63.42
16	D06	162 Control	75.49	49.68
16	D07	162 Control	75.49	53.73
16	D08	162 Control	75.49	106.73
16	D09	162 Control	75.49	99.73
16	D10	162 Control	75.49	122.50
16	D11	162 Control	75.49	133.63
16	D12	162 Control	75.49	13.65
16	E01	WT DDT	75.49	29.68
16	E02	WT DDT	75.49	33.65
16	E03	WT DDT	75.49	25.79
16	E04	WT DDT	75.49	9.49
16	E05	WT DDT	75.49	4.38
16	E06	WT DDT	75.49	67.65
16	E07	WT DDT	75.49	112.86
16	E08	WT DDT	75.49	19.64
16	E09	WT DDT	75.49	59.01
16	E10	WT DDT	75.49	12.43
16	E11	WT DDT	75.49	13.61
16	E12	WT DDT	75.49	20.90
16	F01	161 DDT	75.49	12.45
16	F02	161 DDT	75.49	3.06
16	F03	161 DDT	75.49	27.74
16	F04	161 DDT	75.49	6.87
16	F05	161 DDT	75.49	6.99
16	F06	161 DDT	75.49	2.07
16	F07	mev-1 DDT	75.49	14.51
16	F08	mev-1 DDT	75.49	1.84
16	F09	mev-1 DDT	75.49	-1.68
16	F10	mev-1 DDT	75.49	6.34
16	F11	mev-1 DDT	75.49	11.58
16	F12	mev-1 DDT	75.49	6.17
16	G01	162 DDT	75.49	30.70
16	G02	162 DDT	75.49	15.57
16	G03	162 DDT	75.49	30.93
16	G04	162 DDT	75.49	9.12
16	G05	162 DDT	75.49	15.49
16	G06	162 DDT	75.49	1.29
16	G07	162 DDT	75.49	23.03
16	G08	162 DDT	75.49	65.33
16	G09	162 DDT	75.49	58.28
16	G10	162 DDT	75.49	22.93
16	G11	162 DDT	75.49	41.99
16	G12	162 DDT	75.49	26.75
16	H01	Background	75.49	0.00
