Measurement	Well	Group	Time	OCR
2	E10	WT DDT	5.75	148.39
2	E11	WT DDT	5.75	61.36
2	E12	WT DDT	5.75	27.68
2	F01	161 DDT	5.75	57.01
2	F02	161 DDT	5.75	10.89
2	F03	161 DDT	5.75	45.22
2	F04	161 DDT	5.75	63.76
2	F05	161 DDT	5.75	45.03
2	F06	161 DDT	5.75	23.67
2	F07	mev-1 DDT	5.75	29.65
2	F08	mev-1 DDT	5.75	19.36
2	F09	mev-1 DDT	5.75	14.80
2	F10	mev-1 DDT	5.75	41.34
2	F11	mev-1 DDT	5.75	19.60
2	F12	mev-1 DDT	5.75	11.99
2	G01	162 DDT	5.75	220.23
2	G02	162 DDT	5.75	27.91
2	G03	162 DDT	5.75	87.43
2	G04	162 DDT	5.75	53.38
2	G05	162 DDT	5.75	34.71
2	G06	162 DDT	5.75	15.22
2	G07	162 DDT	5.75	81.44
2	G08	162 DDT	5.75	119.54
2	G09	162 DDT	5.75	100.45
2	G10	162 DDT	5.75	73.24
2	G11	162 DDT	5.75	135.73
2	G12	162 DDT	5.75	101.84
2	H01	Background	5.75	0.00
2	H02	Background	5.75	0.00
2	H03	Background	5.75	0.00
2	H04	Background	5.75	0.00
2	H05	Background	5.75	0.00
2	H06	Background	5.75	0.00
2	H07	Background	5.75	0.00
2	H08	Background	5.75	0.00
2	H09	Background	5.75	0.00
2	H10	Background	5.75	0.00
2	H11	Background	5.75	0.00
2	H12	Background	5.75	0.00
3	A01	Background	10.71	0.00
3	A02	Background	10.71	0.00
3	A03	Background	10.71	0.00
3	A04	Background	10.71	0.00
3	A05	Background	10.71	0.00
3	A06	Background	10.71	0.00
3	A07	Background	10.71	0.00
3	A08	Background	10.71	0.00
3	A09	Background	10.71	0.00
3	A10	Background	10.71	0.00
3	A11	Background	10.71	0.00
3	A12	Background	10.71	0.00
3	B01	WT Control	10.71	130.52
3	B02	WT Control	10.71	499.47
3	B03	WT Control	10.71	328.72
3	B04	WT Control	10.71	524.13
3	B05	WT Control	10.71	559.59
3	B06	WT Control	10.71	477.31
3	B07	WT Control	10.71	432.39
3	B08	WT Control	10.71	350.79
3	B09	WT Control	10.71	276.93
3	B10	WT Control	10.71	149.24
3	B11	WT Control	10.71	622.66
